word,lemma,porter_stem
isn,isn,isn
pay,pay,pay
failed,fail,fail
selected,select,select
hurt,hurt,hurt
fort,fort,fort
box,box,box
regiment,regiment,regiment
majority,majority,major
journal,journal,journal
edward,edward,edward
plans,plan,plan
shown,show,shown
pretty,pretty,pretti
irish,irish,irish
characters,character,charact
directly,directly,directli
scene,scene,scene
likely,likely,like
operated,operate,oper
allow,allow,allow
spring,spring,spring
junior,junior,junior
matches,match,match
looks,look,look
mike,mike,mike
houses,houses,hous
fellow,fellow,fellow
beach,beach,beach
marriage,marriage,marriag
rules,rule,rule
oil,oil,oil
florida,florida,florida
expected,expect,expect
nearby,nearby,nearbi
congress,congress,congress
sam,sam,sam
peace,peace,peac
recent,recent,recent
iii,iii,iii
wait,wait,wait
subsequently,subsequently,subsequ
cell,cell,cell
variety,variety,varieti
serving,serve,serv
agreed,agree,agre
please,please,pleas
poor,poor,poor
joe,joe,joe
pacific,pacific,pacif
attempt,attempt,attempt
wood,wood,wood
democratic,democratic,democrat
piece,piece,piec
prime,prime,prime
rural,rural,rural
mile,mile,mile
touch,touch,touch
appears,appear,appear
township,township,township
soldiers,soldier,soldier
pennsylvania,pennsylvania,pennsylvania
closer,close,closer
fighting,fighting,fight
claimed,claim,claim
score,score,score
jones,jones,jone
physical,physical,physic
editor,editor,editor
filled,fill,fill
genus,genus,genu
specific,specific,specif
sitting,sit,sit
super,super,super
mom,mom,mom
therefore,therefore,therefor
supported,support,support
status,status,statu
fear,fear,fear
cases,case,case
store,store,store
meaning,mean,mean
wales,wale,wale
minor,minor,minor
spain,spain,spain
tower,tower,tower
focus,focus,focu
vice,vice,vice
frank,frank,frank
follow,follow,follow
parish,parish,parish
separate,separate,separ
golden,golden,golden
horse,horse,hors
fifth,fifth,fifth
remaining,remain,remain
branch,branch,branch
presented,present,present
stared,stare,stare
uses,use,use
secret,secret,secret
forms,form,form
baseball,baseball,basebal
exactly,exactly,exactli
choice,choice,choic
note,note,note
discovered,discover,discov
travel,travel,travel
composed,compose,compos
truth,truth,truth
russia,russia,russia
ball,ball,ball
color,color,color
kiss,kiss,kiss
dad,dad,dad
wind,wind,wind
continue,continue,continu
ring,ring,ring
referred,refer,refer
numbers,number,number
digital,digital,digit
greater,great,greater
metres,metre,metr
slightly,slightly,slightli
direct,direct,direct
increase,increase,increas
responsible,responsible,respons
crew,crew,crew
rule,rule,rule
trees,tree,tree
troops,troop,troop
broke,break,broke
goes,go,goe
individuals,individual,individu
hundred,hundred,hundr
weight,weight,weight
creek,creek,creek
sleep,sleep,sleep
memory,memory,memori
defense,defense,defens
provides,provide,provid
ordered,order,order
code,code,code
value,value,valu
jewish,jewish,jewish
windows,window,window
safe,safe,safe
judge,judge,judg
whatever,whatever,whatev
corps,corps,corp
realized,realize,realiz
growing,grow,grow
pre,pre,pre
cities,city,citi
alexander,alexander,alexand
gaze,gaze,gaze
lies,lie,lie
spread,spread,spread
scott,scott,scott
letter,letter,letter
showed,show,show
situation,situation,situat
mayor,mayor,mayor
transport,transport,transport
watching,watch,watch
workers,worker,worker
extended,extend,extend
expression,expression,express
normal,normal,normal
chart,chart,chart
multiple,multiple,multipl
border,border,border
host,host,host
daily,daily,daili
mrs,mrs,mr
walls,wall,wall
piano,piano,piano
heat,heat,heat
can,can,can
not,not,not
earned,earn,earn
products,product,product
drama,drama,drama
era,era,era
authority,authority,author
seasons,season,season
join,join,join
grade,grade,grade
sign,sign,sign
difficult,difficult,difficult
machine,machine,machin
territory,territory,territori
mainly,mainly,mainli
stations,station,station
squadron,squadron,squadron
stepped,step,step
iron,iron,iron
serve,serve,serv
appear,appear,appear
sky,sky,sky
speak,speak,speak
broken,broken,broken
charge,charge,charg
knowledge,knowledge,knowledg
kilometres,kilometre,kilometr
removed,remove,remov
ships,ship,ship
article,article,articl
campus,campus,campu
simple,simple,simpl
pushed,push,push
britain,britain,britain
leaves,leave,leav
recently,recently,recent
cd,cd,cd
soft,soft,soft
boston,boston,boston
latter,latter,latter
easy,easy,easi
acquired,acquire,acquir
poland,poland,poland
quality,quality,qualiti
officers,officer,offic
presence,presence,presenc
planned,planned,plan
nations,nations,nation
mass,mass,mass
broadcast,broadcast,broadcast
jean,jean,jean
share,share,share
image,image,imag
influence,influence,influenc
wild,wild,wild
offer,offer,offer
emperor,emperor,emperor
electric,electric,electr
reading,reading,read
headed,head,head
ability,ability,abil
promoted,promote,promot
yellow,yellow,yellow
ministry,ministry,ministri
throat,throat,throat
smaller,small,smaller
politician,politician,politician
latin,latin,latin
spoke,speak,spoke
cars,car,car
williams,williams,william
males,male,male
lack,lack,lack
pop,pop,pop
acting,acting,act
seeing,see,see
consists,consist,consist
estate,estate,estat
pressure,pressure,pressur
johnson,johnson,johnson
newspaper,newspaper,newspap
jr,jr,jr
chris,chris,chri
olympics,olympics,olymp
online,online,onlin
conditions,condition,condit
beat,beat,beat
elements,element,element
walking,walk,walk
vote,vote,vote
needs,need,need
carolina,carolina,carolina
text,text,text
featuring,feature,featur
global,global,global
block,block,block
shirt,shirt,shirt
levels,level,level
francisco,francisco,francisco
purpose,purpose,purpos
females,female,femal
et,et,et
dutch,dutch,dutch
duke,duke,duke
ahead,ahead,ahead
gas,gas,ga
twice,twice,twice
safety,safety,safeti
serious,serious,seriou
turning,turn,turn
highly,highly,highli
lieutenant,lieutenant,lieuten
firm,firm,firm
maria,maria,maria
amount,amount,amount
mixed,mix,mix
daniel,daniel,daniel
proposed,propose,propos
perfect,perfect,perfect
agreement,agreement,agreement
affairs,affair,affair
seconds,second,second
contemporary,contemporary,contemporari
paid,pay,paid
prison,prison,prison
save,save,save
kitchen,kitchen,kitchen
label,label,label
administrative,administrative,administr
intended,intend,intend
constructed,construct,construct
academic,academic,academ
nice,nice,nice
teacher,teacher,teacher
races,race,race
formerly,formerly,formerli
corporation,corporation,corpor
ben,ben,ben
nation,nation,nation
issued,issue,issu
shut,shut,shut
drums,drum,drum
housing,housing,hous
victoria,victoria,victoria
seems,seem,seem
opera,opera,opera
graduated,graduate,graduat
function,function,function
von,von,von
mentioned,mention,mention
picked,pick,pick
build,build,build
recognized,recognize,recogn
shortly,shortly,shortli
protection,protection,protect
picture,picture,pictur
notable,notable,notabl
exchange,exchange,exchang
elections,election,elect
loved,love,love
percent,percent,percent
racing,race,race
fish,fish,fish
elizabeth,elizabeth,elizabeth
garden,garden,garden
volume,volume,volum
hockey,hockey,hockey
beside,beside,besid
settled,settled,settl
competed,compete,compet
replied,reply,repli
drew,draw,drew
actress,actress,actress
marine,marine,marin
scotland,scotland,scotland
steel,steel,steel
glanced,glance,glanc
farm,farm,farm
steve,steve,steve
risk,risk,risk
tonight,tonight,tonight
positive,positive,posit
magic,magic,magic
singles,single,singl
effects,effect,effect
gray,gray,gray
screen,screen,screen
dog,dog,dog
residents,resident,resid
bus,bus,bu
sides,side,side
none,none,none
secondary,secondary,secondari
literature,literature,literatur
polish,polish,polish
destroyed,destroy,destroy
flying,fly,fli
founder,founder,founder
households,household,household
lay,lie,lay
reserve,reserve,reserv
usa,usa,usa
gallery,gallery,galleri
industrial,industrial,industri
younger,young,younger
approach,approach,approach
appearances,appearance,appear
urban,urban,urban
ones,one,one
finish,finish,finish
avenue,avenue,avenu
powerful,powerful,power
fully,fully,fulli
growth,growth,growth
page,page,page
honor,honor,honor
jersey,jersey,jersey
projects,project,project
advanced,advance,advanc
revealed,reveal,reveal
basic,basic,basic
infantry,infantry,infantri
pair,pair,pair
equipment,equipment,equip
visit,visit,visit
evening,evening,even
search,search,search
grant,grant,grant
effort,effort,effort
solo,solo,solo
treatment,treatment,treatment
buried,bury,buri
republican,republican,republican
primarily,primarily,primarili
bottom,bottom,bottom
owner,owner,owner
israel,israel,israel
gives,give,give
jim,jim,jim
dream,dream,dream
bob,bob,bob
